name,grade_scale,price_jpy,price_php,price_sgd,price_usd,price_myr,price_thb,price_idr,stock,release_date,cancellation_deadline,sku,image_url,image_urls,affiliate_url,scraped_at,notes
Mobile Suit Gundam: E.F.S.F. PVC Patch,Unknown,"¥1,248",470.9,10.05,7.86,31.09,256.34,134784.0,Aug  Release,2026/08/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR11500,https://www.hlj.com/productimages/csp/cspr11500_0.jpg,['https://www.hlj.com/productimages/csp/cspr11500_0.jpg'],https://www.hlj.com/mobile-suit-gundam-e-f-s-f-pvc-patch-cspr11500?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:59:39+08:00,
Mobile Suit Gundam New Translation MS Complete Collection U.C.0068-0080,Unknown,"¥5,242",1977.78,42.22,33.01,130.58,1076.71,566136.0,May Release,2026/03/26,"2026-02-06
Cancellations will not be accepted after this date (Japan Standard Time).",KDK14754,https://www.hlj.com/media/original_images/noImage.png,['https://www.hlj.com/media/original_images/noImage.png'],https://www.hlj.com/mobile-suit-gundam-new-translation-ms-complete-collection-u-c-0068-0080-kdk14754?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:59:45+08:00,
Mobile Suit Gundam: Zeon Military Flag,Unknown,"¥3,120",1177.25,25.13,19.65,77.72,640.85,336960.0,Apr  Release,2026/04/30,"2026-01-31
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR56215-3,https://www.hlj.com/productimages/csp/cspr56215-3_0.jpg,['https://www.hlj.com/productimages/csp/cspr56215-3_0.jpg'],https://www.hlj.com/mobile-suit-gundam-zeon-military-flag-cspr56215-3?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:59:51+08:00,
Mobile Suit Gundam: Zeon Tactical Belt,Unknown,"¥4,743",1789.42,38.2,29.87,118.15,974.21,512244.0,Aug  Release,2026/08/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR21246-4,https://www.hlj.com/productimages/csp/cspr21246-4_0.jpg,['https://www.hlj.com/productimages/csp/cspr21246-4_0.jpg'],https://www.hlj.com/mobile-suit-gundam-zeon-tactical-belt-cspr21246-4?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:59:58+08:00,
Mobile Suit Gundam: Chimera Corps Patch,Unknown,"¥1,498",565.08,12.07,9.43,37.32,307.69,161784.0,Aug  Release,2026/08/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR28776-3,https://www.hlj.com/productimages/csp/cspr28776-3_0.jpg,['https://www.hlj.com/productimages/csp/cspr28776-3_0.jpg'],https://www.hlj.com/mobile-suit-gundam-chimera-corps-patch-cspr28776-3?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:00:06+08:00,
Galaxy Gundam T-Shirt Black XL,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR36686-2,https://www.hlj.com/productimages/csp/cspr36686-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr36686-2_0.jpg'],https://www.hlj.com/galaxy-gundam-t-shirt-black-xl-cspr36686-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:00:12+08:00,
Mobile Suit Gundam: Char's Cleaner Cloth,Unknown,¥749,282.54,6.03,4.72,18.66,153.84,80892.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR02165-3,https://www.hlj.com/productimages/csp/cspr02165-3_0.jpg,['https://www.hlj.com/productimages/csp/cspr02165-3_0.jpg'],https://www.hlj.com/mobile-suit-gundam-char-s-cleaner-cloth-cspr02165-3?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:00:22+08:00,
Mobile Suit Gundam Witch Of Mercury: That's Gundam T-Shirt / Mix Gray-Xl,Unknown,"¥3,744",1412.7,30.16,23.58,93.26,769.02,404352.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR31908-2,https://www.hlj.com/productimages/csp/cspr31908-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr31908-2_0.jpg'],https://www.hlj.com/mobile-suit-gundam-witch-of-mercury-that-s-gundam-t-shirt-mix-gray-xl-cspr31908-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:00:28+08:00,
Mobile Suit Gundam: Char's Custom Waterproof Sticker,Unknown,¥624,235.45,5.03,3.93,15.54,128.17,67392.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR12613-3,https://www.hlj.com/productimages/csp/cspr12613-3_0.jpg,['https://www.hlj.com/productimages/csp/cspr12613-3_0.jpg'],https://www.hlj.com/mobile-suit-gundam-char-s-custom-waterproof-sticker-cspr12613-3?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:00:35+08:00,
Mobile Suit Gundam: Char's Counterattack: New Gundam Beyond T-shirt: Navy - L,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR12599,https://www.hlj.com/productimages/csp/cspr12599_0.jpg,['https://www.hlj.com/productimages/csp/cspr12599_0.jpg'],https://www.hlj.com/mobile-suit-gundam-char-s-counterattack-new-gundam-beyond-t-shirt-navy-l-cspr12599?utm_source=speedartug&utm_medium=affiliate,2026-05-06T04:00:41+08:00,
